name,sex,weight_class,deadlift_style,best3_deadlift_kg,total_kg,deadlift_fraction
Bobbie Butters,F,nan,Conventional,197.5,502.5,0.39303482587064675
Bobbie Butters,F,nan,Conventional,195.0,490.0,0.3979591836734694
Bobbie Butters,F,57,Conventional,195.0,492.5,0.39593908629441626
Bobbie Butters,F,57,Conventional,192.5,492.5,0.39086294416243655
Bobbie Butters,F,nan,Conventional,190.0,482.5,0.39378238341968913
Bobbie Butters,F,63,Conventional,187.5,480.0,0.390625
Bobbie Butters,F,57,Conventional,185.0,478.0,0.38702928870292885
Bobbie Butters,F,57,Conventional,185.0,470.5,0.3931987247608927
Bobbie Butters,F,57,Conventional,182.5,472.5,0.3862433862433862
Bobbie Butters,F,57,Conventional,177.5,450.0,0.39444444444444443
Elise Rummens,F,57,Conventional,192.5,402.5,0.4782608695652174
Elise Rummens,F,57,Conventional,180.0,390.0,0.46153846153846156
Elise Rummens,F,57,Conventional,170.0,362.5,0.4689655172413793
Elise Rummens,F,57,Conventional,162.5,345.0,0.47101449275362317
Sovannphaktra Pal,F,57,Conventional,205.0,487.5,0.4205128205128205
Sovannphaktra Pal,F,nan,Conventional,202.5,485.0,0.4175257731958763
Sovannphaktra Pal,F,57,Conventional,200.0,480.0,0.4166666666666667
Sovannphaktra Pal,F,57,Conventional,180.0,435.0,0.41379310344827586
Marisa Inda,F,52,Conventional,182.5,420.0,0.43452380952380953
Marisa Inda,F,52,Conventional,180.0,420.0,0.42857142857142855
Marisa Inda,F,52,Conventional,180.0,412.5,0.43636363636363634
Marisa Inda,F,52,Conventional,172.5,395.0,0.43670886075949367
Marisa Inda,F,52,Conventional,165.0,400.0,0.4125
Marisa Inda,F,52,Conventional,155.0,352.5,0.4397163120567376
Kimberly Walford,F,76,Conventional,244.5,529.5,0.46175637393767704
Kimberly Walford,F,72,Conventional,243.0,535.5,0.453781512605042
Kimberly Walford,F,76,Conventional,242.5,542.5,0.4470046082949309
Kimberly Walford,F,72,Conventional,242.5,535.0,0.4532710280373832
Kimberly Walford,F,72,Conventional,240.5,528.0,0.45549242424242425
Kimberly Walford,F,76,Conventional,240.0,522.5,0.45933014354066987
Kimberly Walford,F,76,Conventional,240.0,535.0,0.4485981308411215
Kimberly Walford,F,76,Conventional,237.5,525.0,0.4523809523809524
Kimberly Walford,F,72,Conventional,237.5,532.5,0.4460093896713615
Kimberly Walford,F,72,Conventional,235.0,522.5,0.44976076555023925
Kimberly Walford,F,72,Conventional,230.0,510.0,0.45098039215686275
Kimberly Walford,F,69,Conventional,230.0,510.0,0.45098039215686275
Kimberly Walford,F,63,Conventional,221.0,476.0,0.4642857142857143
Kimberly Walford,F,63,Conventional,220.5,468.0,0.47115384615384615
Lucy Robinson #1,F,63,Conventional,210.0,485.0,0.4329896907216495
Lucy Robinson #1,F,63,Conventional,200.0,457.5,0.4371584699453552
Lucy Robinson #1,F,63,Conventional,195.0,437.5,0.44571428571428573
Lucy Robinson #1,F,63,Conventional,172.5,385.0,0.44805194805194803
Lucy Robinson #1,F,57,Conventional,140.0,300.0,0.4666666666666667
Cranon Worford,F,76,Conventional,245.0,595.0,0.4117647058823529
Cranon Worford,F,76,Conventional,245.0,585.0,0.4188034188034188
Dayna McNeal,F,76,Conventional,242.5,532.5,0.45539906103286387
Dayna McNeal,F,76,Conventional,240.0,537.5,0.44651162790697674
Dayna McNeal,F,76,Conventional,225.0,515.0,0.4368932038834951
Karlina Tongotea,F,nan,Conventional,260.0,620.0,0.41935483870967744
Karlina Tongotea,F,nan,Conventional,255.0,616.0,0.413961038961039
