name,sex,weight_class,deadlift_style,best3_deadlift_kg,total_kg,deadlift_fraction
Bobbie Butters,F,57,Conventional,195.0,492.5,0.39593908629441626
Cranon Worford,F,76,Conventional,245.0,595.0,0.4117647058823529
Karlina Tongotea,F,76,Conventional,255.0,612.5,0.4163265306122449
Alexis Jones #1,F,84+,Conventional,262.5,704.5,0.37260468417317244
Ziana Azariah,F,84,Conventional,269.5,607.0,0.4439868204283361
Daniella Melo,F,84,Sumo,246.0,613.0,0.401305057096248
Gwen Marsden,F,43,Conventional,150.5,348.0,0.4324712643678161
Etienne El Chaer,M,120,Conventional,390.0,962.5,0.4051948051948052
Kjell Egil Bakkelund,M,66,Sumo,310.0,742.5,0.4175084175084175
Kjell Egil Bakkelund,M,74,Sumo,332.5,812.5,0.40923076923076923
Iván Campano Díaz,M,59,Sumo,275.0,637.5,0.43137254901960786
Chandler Babb,F,69,Conventional,247.5,570.0,0.4342105263157895
Chiara Bernardi,F,63,Sumo,232.5,560.0,0.41517857142857145
Marlit Fuentes,F,43,Sumo,151.0,349.5,0.43204577968526464
Anatolii Novopismennyi,M,105,Sumo,340.0,940.5,0.3615098351940457
Ade Omisakin,M,83,Sumo,337.5,842.5,0.40059347181008903
Anthony McNaughton,M,105,Sumo,365.0,975.5,0.3741670937980523
Ashton Rouska,M,105,Conventional,365.0,940.5,0.38809144072301965
Aylin Esthefania Cuevas Guzmán,F,43,Sumo,154.0,339.0,0.45427728613569324
Bobb Matthews,M,120,Sumo,380.0,970.0,0.3917525773195876
Bodie LaCoe,M,59,Sumo,293.0,623.0,0.47030497592295345
Brandon Pitre #1,M,93,Sumo,357.5,887.5,0.4028169014084507
Brett Gibbs,M,83,Conventional,317.5,830.5,0.3822998193859121
Cenk Koçak,M,120+,Conventional,372.5,997.5,0.37343358395989973
Chance Mitchell #1,M,93,Sumo,373.5,878.5,0.42515651678998295
Eddie Berglund,M,66,Sumo,257.5,710.0,0.3626760563380282
Elliott Sykes,M,74,Sumo,312.5,815.0,0.3834355828220859
Emil Krastev,M,93,Sumo,355.0,910.0,0.3901098901098901
Gustav Hedlund,M,93,Sumo,350.0,897.5,0.38997214484679665
Ilya Marichev,M,74,Sumo,340.5,798.0,0.4266917293233083
Jade Jacob,F,57,Sumo,230.0,515.0,0.44660194174757284
Jezza Uepa,M,120+,Sumo,305.0,1035.0,0.2946859903381642
Jonathan Cayco,M,93,Conventional,340.0,893.5,0.38052602126468943
Jonathan Garcia #1,M,66,Sumo,260.0,707.5,0.3674911660777385
Joseph Borenstein,M,83,Sumo,372.5,890.0,0.41853932584269665
Joseph McDonald #1,M,120,Conventional,372.5,965.0,0.3860103626943005
Joshua Ngoka,M,120,Conventional,375.0,957.5,0.391644908616188
Jurins Kengamu,M,83,Sumo,357.5,857.5,0.41690962099125367
Keenan Lee,M,105,Sumo,367.5,950.0,0.3868421052631579
Kristín Þórhallsdóttir,F,84,Conventional,230.0,580.0,0.39655172413793105
Laura Mautalen,F,76,Sumo,242.5,590.0,0.4110169491525424
Luseane Lafaele,F,84+,Conventional,257.5,677.5,0.3800738007380074
Luseane Lafaele,F,84+,Conventional,257.5,677.5,0.3800738007380074
Megan-Li Smith,F,52,Sumo,197.5,477.5,0.41361256544502617
Meghan Scanlon,F,63,Sumo,210.0,552.5,0.38009049773755654
Noémie Allabert,F,52,Conventional,200.0,450.0,0.4444444444444444
Panagiotis Tarinidis,M,66,Conventional,285.0,707.5,0.4028268551236749
Pleun Dekkers,F,52,Conventional,182.5,453.0,0.40286975717439294
Russel Orhii,M,83,Conventional,335.0,843.5,0.3971547125074096
Sara Ciaravino,F,43,Conventional,132.5,315.0,0.42063492063492064
Sara Naldi,F,57,Sumo,215.0,520.0,0.41346153846153844
Taylor Atwood,M,74,Sumo,312.5,790.5,0.3953194180898166
Tiffany Chapon,F,47,Sumo,170.0,434.5,0.3912543153049482
Valentin Dupuy-Noel,M,59,Sumo,270.0,622.5,0.43373493975903615
Vicky Kijumnuayporn,F,47,Sumo,175.0,412.5,0.42424242424242425
Wascar Carpio,M,59,Sumo,267.5,637.5,0.4196078431372549
Carola Garra,F,63,Conventional,207.5,557.5,0.3721973094170404
Carola Garra,F,69,Conventional,212.5,588.5,0.3610875106202209
Catherine Gagné,F,52,Conventional,175.0,437.5,0.4
Celine Crum,F,69,Conventional,222.5,557.5,0.3991031390134529
Dennis Cornelius,M,120,Sumo,347.5,978.5,0.3551354113438937
Temur Samkharadze,M,120+,Conventional,402.5,1087.5,0.3701149425287356
Ray Williams #1,M,120+,Conventional,377.5,1090.0,0.3463302752293578
Jesus Olivares,M,120+,Conventional,395.0,1112.5,0.3550561797752809
Emil Norling,M,105,Conventional,370.0,935.0,0.39572192513368987
Austin Perkins #1,M,74,Sumo,325.0,842.5,0.3857566765578635
Kasemsand Senumong,M,66,Sumo,297.5,707.5,0.4204946996466431
Sergey Fedosienko,M,59,Sumo,271.0,669.5,0.40477968633308437
Brittany Schlater,F,84+,Conventional,280.0,737.5,0.37966101694915255
Natalie Laalaai,F,84+,Conventional,285.5,688.0,0.41497093023255816
Sonita Muluh,F,84+,Conventional,267.5,731.0,0.36593707250341995
Amanda Lawrence #1,F,84,Sumo,260.0,642.5,0.4046692607003891
Agata Sitko,F,69,Sumo,255.0,612.5,0.4163265306122449
Agata Sitko,F,76,Sumo,250.0,613.0,0.4078303425774878
Agata Sitko,F,84,Sumo,240.0,582.5,0.41201716738197425
Jessica Buettner,F,76,Conventional,261.5,585.0,0.44700854700854703
Prescillia Bavoil,F,63,Conventional,231.0,556.5,0.41509433962264153
Prescillia Bavoil,F,69,Conventional,230.0,567.5,0.4052863436123348
Joy Nnamani,F,57,Sumo,225.0,505.0,0.44554455445544555
Alba Boström,F,63,Sumo,227.5,565.0,0.4026548672566372
Natalie Richards #1,F,57,Sumo,225.0,512.5,0.43902439024390244
Evie Corrigan,F,52,Sumo,205.0,480.0,0.4270833333333333
Jessica Espinal,F,47,Sumo,186.0,433.5,0.4290657439446367
Aurélie Nguyen,F,47,Conventional,185.0,407.5,0.4539877300613497
Heather Connor,F,47,Sumo,212.5,435.0,0.4885057471264368
Cherry Yeung,F,43,Sumo,146.0,313.5,0.46570972886762363
